"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2012-05-24,5.33583333333333,20637.22,2.695,4.25,20637.1666416667
2012-05-25,5.34214285714286,20744.49,2.70028571428571,4.25,20744.4365785714
2012-05-28,5.302,20849.26,2.69842857142857,4.25,20849.20698
2012-05-29,5.23936170212766,21026.33,2.70014285714286,4.25,21026.277606383
2012-05-30,5.30684210526316,20875.09,2.70528571428571,4.25,20875.0369315789
2012-05-31,5.3,20997.56,2.70985714285714,4.25,20997.507
2012-06-01,5.30403,20700.68,2.70857142857143,4.25,20700.6269597
2012-06-04,5.25,20575.03,2.705,4.25,20574.9775
2012-06-05,5.22428571428571,20655.57,2.701,4.25,20655.5177571429
2012-06-06,5.13717948717948,21018.91,2.68328571428571,4.25,21018.8586282051
2012-06-07,5.07962962962963,21020.17,2.67542857142857,4.25,21020.1192037037
2012-06-08,5.11916666666667,20957.55,2.684,4.25,20957.4988083333
2012-06-11,5.15615384615385,20905.8,2.68185714285714,4.25,20905.7484384615
2012-06-12,5.18,20887.63,2.685,4.25,20887.5782
2012-06-13,5.14375,20812.6,2.67885714285714,4.25,20812.5485625
2012-06-14,5.12571428571429,20702.9,2.67185714285714,4.25,20702.8487428571
2012-06-15,5.08280701754387,20634.18,2.66285714285714,4.25,20634.1291719298
2012-06-18,5.03142857142857,20714.6,2.64728571428571,4.25,20714.5496857143
2012-06-19,5.03229508196722,20776.54,2.639,4.25,20776.4896770492
2012-06-20,5.04061224489796,20712.41,2.64185714285714,4.25,20712.3595938776
2012-06-21,5.04397435897436,20434.58,2.65214285714286,4.25,20434.5295602564
2012-06-22,5.19427142857143,20509.26,2.653,4.25,20509.2080572857
2012-06-25,5.19427142857143,20426.87,2.66185714285714,4.25,20426.8180572857
2012-06-26,5.195,20372.07,2.66414285714286,4.25,20372.01805
2012-06-27,5.16214285714286,20334.85,2.66385714285714,4.25,20334.7983785714
2012-06-28,5.18,20207.16,2.672,4.25,20207.1082
2012-07-02,5.14,20645.1,2.65314285714286,4.25,20645.0486
